ID,Feature,User story,Expected behaviour,Initial status,Testing notes,Final status
PN-001,React landing header,"As a visitor, I want a clear app title and explanation so I know what workflow I am opening.","The React page renders the Petri Net Workflow Demo heading and summary text.",Pass,"Verified by automated render test.",Pass
PN-002,Feature highlights,"As a visitor, I want quick feature highlights so I can understand available capabilities before interacting.","The React page shows Interactive flow, Decision checkpoints, and Static fallback chips.",Pass,"Verified by automated render test.",Pass
PN-003,Static fallback link,"As a visitor, I want to open the full static demo directly so I can use it outside the embedded frame.","The primary Open static fallback action links to ./static.html.",Pass,"Verified by automated render test.",Pass
PN-004,Back navigation,"As a visitor, I want a back link so I can return to the app index.","The Back to app index action links to ../../index.html.",Pass,"Verified by automated render test.",Pass
PN-005,Embedded demo,"As a visitor, I want the static workflow embedded on the React page so I can start exploring immediately.","The React page embeds an iframe titled Petri Net Workflow Demo with src ./static.html.",Pass,"Verified by automated render test.",Pass
PN-006,Static navigation,"As a static-demo user, I want links back to the React version and app index so I do not get stranded.","The static page has React version and Back to app index links.",Pass,"Verified by static DOM test.",Pass
PN-007,Initial marking and enabled transitions,"As a planner, I want the initial Petri-net state visible so I can see available work.","On load, the status is Ready, Path A exists, marking rows are populated, and initially enabled transitions are highlighted.",Pass,"Verified by static DOM test.",Pass
PN-008,Manual step,"As a planner, I want to step one feasible transition so I can inspect how tokens move.","Clicking Step appends one breadcrumb, updates path metadata, and records the fired sequence in the audit receipt.",Pass,"Verified by static interaction test with deterministic Math.random.",Pass
PN-009,Reset path,"As a planner, I want to reset the active path so I can restart a scenario cleanly.","Clicking Reset path clears the path back to M0, restores Ready status, and clears reachability output.",Pass,"Verified by static interaction test.",Pass
PN-010,Conservation invariants,"As an analyst, I want S-invariants computed so I can inspect conserved resources or progress sums.","Clicking Show Conservation computes an invariant list, highlights the first invariant, and writes a summary result.",Pass,"Verified by static interaction test.",Pass
PN-011,Reachability success,"As an analyst, I want to test whether a desired goal is reachable so I can validate the workflow model.","With goal {""complete"":1}, Check Goal Reachability reports Reachable and shows a witness firing sequence.",Pass,"Verified by static interaction test.",Pass
PN-012,Reachability validation,"As an analyst, I want invalid goals rejected with helpful feedback so I can correct inputs quickly.","Unknown place ids or malformed JSON produce a Goal parse error status and explanatory output.",Pass,"Verified by static interaction test.",Pass
PN-013,Breadcrumb rewind,"As a planner, I want to click prior markings so I can compare earlier states without rebuilding the path.","Clicking a breadcrumb rewinds the active cursor and marks that breadcrumb active.",Pass,"Verified by static interaction test.",Pass
PN-014,Branch explorer,"As a planner, I want to fork feasible schedules so I can compare alternative firing sequences.","Clicking Branch Explorer prompts for an enabled transition, creates a new path tab, makes it active, and fires the chosen transition.",Pass,"Verified by static interaction test with mocked prompt.",Pass
PN-015,Disabled transition feedback,"As a planner, I want feedback when I click an unavailable transition so I understand why nothing fired.","Clicking a disabled transition sets Not enabled status without adding a breadcrumb.",Pass,"Verified by static interaction test.",Pass
